VK_FORMAT_UNDEFINED  : 0 : The format is not specified. 
VK_FORMAT_A2B10G10R10_UINT_PACK32  : 68 : A four-component, 32-bit packed unsigned integer format that has a 2-bit A component in bits 30..31, a 10-bit B component in bits 20..29, a 10-bit G component in bits 10..19, and a 10-bit R component in bits 0..9. 
VK_FORMAT_A2B10G10R10_SINT_PACK32  : 69 : A four-component, 32-bit packed signed integer format that has a 2-bit A component in bits 30..31, a 10-bit B component in bits 20..29, a 10-bit G component in bits 10..19, and a 10-bit R component in bits 0..9. 
VK_FORMAT_R16_UNORM  : 70 : A one-component, 16-bit unsigned normalized format that has a single 16-bit R component. 
VK_FORMAT_R16_SNORM  : 71 : A one-component, 16-bit signed normalized format that has a single 16-bit R component. 
VK_FORMAT_R16_USCALED  : 72 : A one-component, 16-bit unsigned scaled integer format that has a single 16-bit R component. 
VK_FORMAT_R16_SSCALED  : 73 : A one-component, 16-bit signed scaled integer format that has a single 16-bit R component. 
VK_FORMAT_R16_UINT  : 74 : A one-component, 16-bit unsigned integer format that has a single 16-bit R component. 
VK_FORMAT_R16_SINT  : 75 : A one-component, 16-bit signed integer format that has a single 16-bit R component. 
VK_FORMAT_R16_SFLOAT  : 76 : A one-component, 16-bit signed floating-point format that has a single 16-bit R component. 
VK_FORMAT_R16G16_UNORM  : 77 : A two-component, 32-bit unsigned normalized format that has a 16-bit R component in bytes 0..1, and a 16-bit G component in bytes 2..3. 
VK_FORMAT_R16G16_SNORM  : 78 : A two-component, 32-bit signed normalized format that has a 16-bit R component in bytes 0..1, and a 16-bit G component in bytes 2..3. 
VK_FORMAT_R16G16_USCALED  : 79 : A two-component, 32-bit unsigned scaled integer format that has a 16-bit R component in bytes 0..1, and a 16-bit G component in bytes 2..3. 
VK_FORMAT_R16G16_SSCALED  : 80 : A two-component, 32-bit signed scaled integer format that has a 16-bit R component in bytes 0..1, and a 16-bit G component in bytes 2..3. 
VK_FORMAT_R16G16_UINT  : 81 : A two-component, 32-bit unsigned integer format that has a 16-bit R component in bytes 0..1, and a 16-bit G component in bytes 2..3. 
VK_FORMAT_R16G16_SINT  : 82 : A two-component, 32-bit signed integer format that has a 16-bit R component in bytes 0..1, and a 16-bit G component in bytes 2..3. 
VK_FORMAT_R16G16_SFLOAT  : 83 : A two-component, 32-bit signed floating-point format that has a 16-bit R component in bytes 0..1, and a 16-bit G component in bytes 2..3. 
VK_FORMAT_R16G16B16_UNORM  : 84 : A three-component, 48-bit unsigned normalized format that has a 16-bit R component in bytes 0..1, a 16-bit G component in bytes 2..3, and a 16-bit B component in bytes 4..5. 
VK_FORMAT_R16G16B16_SNORM  : 85 : A three-component, 48-bit signed normalized format that has a 16-bit R component in bytes 0..1, a 16-bit G component in bytes 2..3, and a 16-bit B component in bytes 4..5. 
VK_FORMAT_R16G16B16_USCALED  : 86 : A three-component, 48-bit unsigned scaled integer format that has a 16-bit R component in bytes 0..1, a 16-bit G component in bytes 2..3, and a 16-bit B component in bytes 4..5. 
VK_FORMAT_R16G16B16_SSCALED  : 87 : A three-component, 48-bit signed scaled integer format that has a 16-bit R component in bytes 0..1, a 16-bit G component in bytes 2..3, and a 16-bit B component in bytes 4..5. 
VK_FORMAT_R16G16B16_UINT  : 88 : A three-component, 48-bit unsigned integer format that has a 16-bit R component in bytes 0..1, a 16-bit G component in bytes 2..3, and a 16-bit B component in bytes 4..5. 
VK_FORMAT_R16G16B16_SINT  : 89 : A three-component, 48-bit signed integer format that has a 16-bit R component in bytes 0..1, a 16-bit G component in bytes 2..3, and a 16-bit B component in bytes 4..5. 
VK_FORMAT_R16G16B16_SFLOAT  : 90 : A three-component, 48-bit signed floating-point format that has a 16-bit R component in bytes 0..1, a 16-bit G component in bytes 2..3, and a 16-bit B component in bytes 4..5. 
VK_FORMAT_R16G16B16A16_UNORM  : 91 : A four-component, 64-bit unsigned normalized format that has a 16-bit R component in bytes 0..1, a 16-bit G component in bytes 2..3, a 16-bit B component in bytes 4..5, and a 16-bit A component in bytes 6..7. 
VK_FORMAT_R16G16B16A16_SNORM  : 92 : A four-component, 64-bit signed normalized format that has a 16-bit R component in bytes 0..1, a 16-bit G component in bytes 2..3, a 16-bit B component in bytes 4..5, and a 16-bit A component in bytes 6..7. 
VK_FORMAT_R16G16B16A16_USCALED  : 93 : A four-component, 64-bit unsigned scaled integer format that has a 16-bit R component in bytes 0..1, a 16-bit G component in bytes 2..3, a 16-bit B component in bytes 4..5, and a 16-bit A component in bytes 6..7. 
